LOCSHR97,PCE,Highway,STATENAME,POP90
0.874011868,2.17797505502568,8905.74,Alabama,4089
0.419054329,0.0,0.0,Alaska,570
0.636350582,2.12133866666667,7955.02,Arizona,3750
0.804524983,2.03598650927487,4829.36,Arkansas,2372
0.78942093,1.4099874917709,42835.42,California,30380
0.793003327,1.94681374000592,6574.39,Colorado,3377
0.807448609,2.19893953205713,7236.71,Connecticut,3291
0.116742398,3.10702941176471,2112.78,Delaware,680
0.007719298,0.0,0.0,Dist. of Columbia,598
0.882929512,1.50545303909016,19987.9,Florida,13277
0.829658046,1.8783149630077,12440.08,Georgia,6623
0.728691477,0.0,0.0,Hawaii,1135
0.520665122,2.8971896053898,3010.18,Idaho,1039
0.874016605,2.49810187992723,28835.59,Illinois,11543
0.878730002,1.90975401069519,10713.72,Indiana,5610
0.909062702,3.76943112701252,10535.56,Iowa,2795
0.91940303,3.07301402805611,7667.17,Kansas,2495
0.617299503,3.26901427417183,12137.85,Kentucky,3713
0.715097697,3.19199905926623,13572.38,Louisiana,4252
0.614097072,2.06263157894737,2547.35,Maine,1235
0.804164435,2.42140329218107,11768.02,Maryland,4860
0.893644358,1.53345396931288,9194.59,Massachusetts,5996
0.919006226,2.00636315115286,18795.61,Michigan,9368
0.886296574,3.02747518050542,13417.77,Minnesota,4432
0.844032809,2.58590277777778,6702.66,Mississippi,2592
0.729210618,2.22851298953083,11494.67,Missouri,5158
0.683627334,5.1552103960396,4165.41,Montana,808
0.887502559,3.40436283741368,5423.15,Nebraska,1593
0.604082355,2.16673676012461,2782.09,Nevada,1284
0.725433144,2.17356561085973,2401.79,New Hampshire,1105
0.907934298,1.98569587628866,15409.0,New Jersey,7760
0.682958405,2.83524547803618,4388.96,New Mexico,1548
0.854436344,2.07183298261159,37413.16,New York,18058
0.17727639,1.53465192222057,10338.95,North Carolina,6737
0.905188021,4.92803149606299,3129.3,North Dakota,635
0.81908379,2.16983727945882,23735.85,Ohio,10939
0.883402018,2.10991496062992,6698.98,Oklahoma ,3175
0.516182662,2.34007871321013,6837.71,Oregon,2922
0.621816503,2.02382325892484,24206.95,Pennsylvania,11961
0.798108825,1.97299800796813,1980.89,Rhode Island,1004
0.340666636,1.34211516853933,4777.93,South Carolina,3560
0.881968432,4.59137980085349,3227.74,South Dakota,703
0.831494763,2.24316979608318,11110.42,Tennessee,4953
0.730390257,2.11644590466309,36718.22,Texas,17349
0.694205259,2.43925423728814,4317.48,Utah,1770
0.792711186,3.20918871252205,1819.61,Vermont,567
0.149475801,2.3753929366847,14931.72,Virginia,6286
0.678482126,2.41973893981666,12142.25,Washington,5018
0.069743706,4.19926152137701,7562.87,West Virginia,1801
0.881071907,2.21624419778002,10981.49,Wisconsin,4955
0.689183913,7.76434782608696,3571.6,Wyoming,460
