state,year,highway,gsp,totpub,pvtcap,area,roway,tcapo,tmant,capui,capul,caput,mntui,mntul,mntut,capri,caprl,caprt,mntri,mntrl,mntrt,capti,captl,captt,mntti,mnttl,mnttt,milri,milrl,milrt,milui,miluf,milul,milut,miltt,umilgt4,umille4,rmilgt4,rmille4,rpassveh,rtusing,rtrucom,upassveh,utrusing,utrucomb,alaska,newyork,californ,sotheas,midwest,mortheas,vmtri,vmtrl,vmtrt,vmtui,vmtuf,vmtul,vmtut,cstatmh,cstadmrd,cfedroad,ctal,mstadmh,mladmrd,mredroad,mtal,adm_misc,law_safe,interest,bondret,tdisb,pgsal93,pgsal94,pbcon93,pexcav93,prestl93,pststl93,pstcon93,pop90,sqmiles,popdens,bondrate,locshr97,statenam,irate,totcap,milrlsq,milrisq,highinf,capnew,totexp,lnvmtri,lnvmtrl,lnvmtui,lnvmtul,lnmilri,lnmilrl,lnmilui,lnmilul,vmttot,miletot,vcri,vcrl,vcui,vcul,lnvcri,lnvcrl,lnvcui,lnvcul,lnrtruc,lnutruc,rtruc,ortruc,rtruc2,utruc,outruc,utruc2,rtrusing,rtrus,ortrus,rtrus2,utrus,outrus,utrus2,rcar,orcar,rcar2,ucar,oucar,ucar2,lnrmgt4,lnrmle4,lnumgt4,lnumle4,lnmigt4,lnmile4,miles,traffic,purbmil,umiles,rmiles,mill,lnmill,mili4,mili5,lnmili4,lnmili5,pfwy,lnpfwy,uwidth,rwidth,width,lnuwidth,lnrwidth,purbtraf,urbtraf,rurtraf,ptruck,truck,urbtruck,rurtruck,miles2,traffic2,rvc,uvc,auto,comb,sing,lnumiles,lnrmiles,lnauto,lncomb,lnsing,lnpurbm,lnmiles,x,mgsal93,mgsal94,mbcon93,mexcav93,mrestl93,mststl93,mstcon93,mpopdens,pexcav,psurf,pstruc,pdens,plabor,pconst,lnpexcav,lnpsurf,lnplabor,lnpstruc,lnpdens,lnpconst,pkap,lnpkap,lnirate,lnwidth,pgt4,lnpgt4,mpsqm,lnmpsqm,varexp,lnvarexp,lntotexp,h,lnh,vmt,lnvmt,iaa,iac,ias,ial,iau,iai,iam,icc,ics,icl,icu,ici,icm,iss,isl,isu,isi,ism,ill,ilu,ili,ilm,iuu,iui,ium,iii,iim,imm
GA,1988.0,12440.08,99059.0,34290.46,93342.2,59441.0,77468000.0,741000000.0,530000000.0,169131.0,255256.0,424387.0,6644.0,44293.0,50937.0,56115.0,257194.0,313309.0,6110.0,106470.0,112580.0,225246.0,512450.0,737696.0,12754.0,150763.0,163517.0,809.0,83796.0,84605.0,434.0,167.0,25673.0,26274.0,110879.0,271.0,163.0,115.0,694.0,61.1,19.3,19.6,66.7,24.9,8.4,0.0,0.0,0.0,1.0,0.0,0.0,8419.0,23753.0,32172.0,11889.0,1646.0,32197.0,45732.0,699149.0,174244.0,724.0,874117.0,185909.0,260614.0,15.0,446538.0,113627.0,127181.0,46645.0,300966.0,1909074.0,24431.0,24890.0,30.47,2.14,0.399,0.868,308.24,6623.0,59441.0,111.42141,AAA,0.82965803,Georgia,0.0475,737696.0,7.0217697e+09,654481.0,14928.096,709084.56,1.1134095e+06,9.038246,10.075464,9.513034,10.379628,6.695799,11.336141,6.398595,10.153195,77904.0,110879.0,10.406675,0.28346223,22.520798,1.2541192,2.3424475,-1.2606764,3.1144392,0.22643343,8.749211,8.253615,6305.712,0.00015858636,3.9762004e+07,3841.4878,0.0002603158,1.4757029e+07,19.3,6209.196,0.00016105146,3.855411e+07,11387.268,11387.268,1.2966987e+08,19657.092,19657.092,3.8640125e+08,30503.242,30503.242,9.304478e+08,4.744932,6.542472,5.602119,5.09375,5.9558372,6.753438,110879.0,77904.0,0.236961,26274.0,84605.0,109469.0,11.603396,857.0,386.0,6.753438,5.9558372,0.012716565,-4.3648496,4.873272,3.4264524,2.2648041,1.5837656,1.2315254,0.5870302,45731.996,32172.0,0.3561263,27743.664,15228.756,12514.908,1.2294152e+10,6.069033e+09,0.49683478,1.6604794,50160.336,10147.199,17596.463,10.176335,11.345749,10.82298,9.224953,9.775454,-1.4398596,11.616195,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.71240723,1.1752635,2.9291613,0.7811372,0.92398167,4.816832,-0.33910558,0.16149239,-0.07906305,1.0747161,-0.24700443,1.5721165,6.3951206,1.8555353,-3.0470257,0.81748825,0.310539,-1.1694458,1.8653623,0.6234553,404324.94,12.909974,13.922937,0.482558,-0.72865415,77904.0,11.263232,117.136894,99.84148,105.79954,-0.8556978,1.747829,-32.977898,125.72184,85.099754,90.17809,-0.7293529,1.4897597,-28.108667,107.158844,95.559494,-0.77287716,1.5786614,-29.786058,113.55357,0.006250966,-0.012768081,0.24090715,-0.9184118,0.026079793,-0.49207148,1.8759271,9.284366,-35.394844,134.93597
HA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191402.0,39912.0,231314.0,1960.0,4246.0,6206.0,20447.0,51985.0,72432.0,700.0,8175.0,8875.0,211849.0,91897.0,303746.0,2660.0,12421.0,15081.0,0.0,2307.0,2307.0,44.0,53.0,1702.0,1799.0,4106.0,38.0,6.0,0.0,0.0,100.0,0.0,0.0,79.3,20.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148.0,2148.0,1533.0,804.0,3581.0,5918.0,316797.0,23410.0,263.0,340470.0,19793.0,50294.0,0.0,70087.0,38613.0,16365.0,18968.0,22637.0,507140.0,30420.0,31136.0,65.14,18.58,0.585,0.585,616.43,1135.0,6470.0,175.42503,AA,0.72869146,Hawaii,0.0515,303746.0,5.322249e+06,0.0,0.0,0.0,70059.0,,7.672292,7.7566233,8.183397,,7.7437034,4.574711,7.4395595,8066.0,4106.0,,0.9310793,24.092783,2.1039953,,-0.071410805,3.1819124,0.7438381,,3.5697582,0.0,,0.0,35.508003,0.028162666,1260.8181,0.0,0.0,,0.0,1189.5181,1189.5181,1.4149531e+06,2148.0,2148.0,4.613904e+06,4692.974,4692.974,2.2024006e+07,,,3.637586,1.7917595,3.637586,1.7917595,4106.0,8066.0,0.43813932,1799.0,2307.0,4009.0,8.296297,6.0,38.0,1.7917595,3.637586,0.023623966,-3.7454937,5.590909,,2.4697754,1.7211419,,0.733697,5918.0,2148.0,0.15187529,1225.0261,1225.0261,0.0,1.6859236e+07,6.5060356e+07,,14.074391,6840.974,35.508003,1189.5181,7.494986,7.7437034,8.830686,3.5697582,7.0813036,-0.8252183,8.320205,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,6.1852922,2.512526,4.1317296,1.2298446,1.150486,12.829548,1.8221743,0.9212886,0.14018446,1.4186962,0.2068878,2.551751,0.0,,-2.9661734,0.90412724,0.8636364,-0.14660347,,,70059.0,11.157093,11.157093,0.7410832,-0.29964238,8066.0,8.995413,77.98101,31.523413,62.532764,1.2379249,8.13561,-26.193344,73.473114,12.743174,25.278542,0.5004246,3.2887776,-10.588522,29.701118,50.14486,0.9926887,6.5239244,-21.004374,58.917896,0.019651683,0.12915035,-0.41581142,1.1663635,0.8487727,-2.7327018,7.66531,8.798184,-24.67917,69.22581
ID,1988.0,3010.18,12432.0,5118.46,14216.9,83574.0,5106000.0,186000000.0,116000000.0,762.0,7891.0,8653.0,346.0,824.0,1170.0,41236.0,75044.0,116280.0,2307.0,17980.0,20287.0,41998.0,82935.0,124933.0,2653.0,18804.0,21457.0,532.0,54887.0,55419.0,79.0,0.0,3337.0,3416.0,58835.0,2.0,77.0,0.0,532.0,47.8,31.5,20.7,61.0,31.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1667.0,5540.0,7207.0,741.0,0.0,2816.0,3557.0,111528.0,42830.0,6609.0,160967.0,49296.0,84059.0,1212.0,134567.0,43930.0,14397.0,341.0,545.0,354747.0,22276.0,23261.0,21.82,2.79,0.482,0.714,242.58,1039.0,83574.0,12.4320965,X,0.5206651,Idaho,0.0555,124933.0,3.0125827e+09,283024.0,3612.2158,200477.98,280262.0,7.418781,8.61975,6.6080008,7.943073,6.2766433,10.913032,4.3694477,8.112827,10764.0,58835.0,3.1334586,0.10093465,9.379746,0.8438717,1.1421374,-2.293282,2.2385528,-0.16975476,7.3077717,5.612723,1491.849,0.0006703091,2.2256135e+06,273.889,0.0036511142,75015.18,31.5,2270.205,0.00044048886,5.1538305e+06,1113.341,1113.341,1.2395281e+06,3444.946,3444.946,1.1867653e+07,2169.77,2169.77,4.707902e+06,,6.2766433,0.6931472,4.3438053,0.6931472,6.4118185,58835.0,10764.0,0.05806068,3416.0,55419.0,58224.0,10.972053,609.0,2.0,6.4118185,0.6931472,0.010384975,-4.567395,3.0759494,3.0,2.07759,1.1236136,1.0986123,0.33045337,3557.0,7207.0,0.47838014,5149.284,1387.23,3762.0542,3.4615572e+09,1.158637e+08,0.19330753,0.6591725,5614.716,1765.738,3383.546,8.136226,10.922678,8.633146,7.476324,8.126679,-2.8462665,10.982492,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.92879254,0.8416229,2.6713655,0.08715715,0.84247947,4.441781,-0.073869884,-0.17242324,-0.17140599,0.9825898,-2.4400425,1.4910555,3.4074612,1.2259675,-2.8913722,0.73120856,0.0032733225,-5.7219496,0.7039869,-0.35099554,79784.016,11.287079,12.54348,0.39780578,-0.9217914,10764.0,9.283962,74.53121,64.5442,70.15881,-1.4797729,-1.4885551,-24.96164,94.81346,55.89542,60.75769,-1.2814867,-1.2890921,-21.616837,82.10867,66.042915,-1.3929615,-1.4012284,-23.497255,89.2512,0.029380012,0.029554376,0.4955985,-1.882465,0.029729774,0.49853978,-1.893637,8.360033,-31.754473,120.61514
IL,1988.0,28835.59,200874.0,66247.07,179351.0,57918.0,45186000.0,1580000000.0,810000000.0,365359.0,334974.0,700333.0,36813.0,124266.0,161079.0,212843.0,556580.0,769423.0,21476.0,74427.0,95903.0,578202.0,891554.0,1469756.0,58289.0,198693.0,256982.0,1421.0,100363.0,101784.0,630.0,80.0,34471.0,35181.0,136965.0,311.0,319.0,28.0,1393.0,64.7,12.8,22.5,78.1,14.9,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8428.0,19826.0,28254.0,14447.0,1047.0,43894.0,59388.0,1443338.0,507931.0,56.0,1951325.0,291073.0,701587.0,490.0,993150.0,260011.0,126439.0,129070.0,115485.0,3575480.0,29712.0,30507.0,29.97,4.26,0.605,0.868,387.64,11543.0,57918.0,199.29901,A1,0.8740166,Illinois,0.0535,1.469756e+06,1.0072732e+10,2.019241e+06,34602.707,1.8512449e+06,2.494677e+06,9.039315,9.89475,9.648208,10.689533,7.259116,11.516549,6.565265,10.447874,87642.0,136965.0,5.9310346,0.19754292,21.822535,1.2733603,1.7801987,-1.6217993,3.0829432,0.24165924,8.757336,8.332587,6357.15,0.00015730319,4.0413356e+07,4157.16,0.00024054883,1.728198e+07,12.8,3616.512,0.00027650953,1.3079159e+07,8848.812,8848.812,7.830147e+07,18280.338,18280.338,3.3417072e+08,46382.027,46382.027,2.1512924e+09,3.3322046,7.239215,5.739793,5.765191,5.826,7.4454174,136965.0,87642.0,0.25686124,35181.0,101784.0,134834.0,11.8118,1712.0,339.0,7.4454174,5.826,0.01555872,-4.163134,4.4809523,3.0591133,2.2892208,1.4998356,1.1181251,0.6776203,59388.0,28254.0,0.26219887,22979.633,13005.972,9973.662,1.8759412e+10,7.68112e+09,0.27823865,2.2598174,64662.367,10514.311,12465.323,10.468262,11.530608,11.076935,9.260492,9.430706,-1.3592193,11.82748,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.4181565,1.155978,3.6333005,1.3972168,1.1237094,6.207435,0.34935778,0.14494671,0.11663521,1.2901415,0.33448225,1.8257478,13.51619,2.6038883,-2.9280736,0.8282115,0.16528523,-1.8000827,2.3648088,0.86069715,643432.1,13.374572,14.72967,0.5789724,-0.54650044,87642.0,11.381016,122.69849,102.57787,104.46332,1.2919606,1.6055653,-32.434082,131.01222,85.75672,87.33298,1.0800995,1.3422779,-27.115404,109.52829,88.93822,1.0999523,1.3669498,-27.613802,111.54149,0.013603772,0.01690589,-0.3415165,1.3795006,0.021009548,-0.42441463,1.7143544,8.573615,-34.631733,139.8893
IN,1988.0,10713.72,82918.0,25296.76,93894.82,36420.0,15829000.0,538000000.0,413000000.0,92677.0,234936.0,327613.0,8989.0,26980.0,35969.0,130626.0,177392.0,308018.0,38619.0,114821.0,153440.0,223303.0,412328.0,635631.0,47608.0,141801.0,189409.0,825.0,72287.0,73112.0,313.0,135.0,18814.0,19262.0,92374.0,127.0,186.0,37.0,788.0,59.2,16.3,24.5,68.7,16.8,14.5,0.0,0.0,0.0,0.0,1.0,0.0,6646.0,22606.0,29252.0,5537.0,774.0,21509.0,27820.0,567006.0,218588.0,0.0,785594.0,201342.0,214625.0,510.0,416477.0,195916.0,41838.0,52231.0,12687.0,1504743.0,25309.0,25876.0,22.9,6.97,0.474,0.811,295.89,5610.0,36420.0,154.03624,X,0.87873,Indiana,0.0555,635631.0,5.2254106e+09,680625.0,12856.464,713533.75,1.1406968e+06,8.80177,10.02597,8.75005,9.976227,6.7153835,11.188399,6.104793,9.842357,57072.0,92374.0,8.0557575,0.31272566,14.087053,1.1432444,2.0863872,-1.162429,2.6452563,0.13387018,8.877206,8.302489,7166.74,0.00013953345,5.1362164e+07,4033.9,0.00024789906,1.6272349e+07,16.3,4768.0757,0.00020972821,2.2734546e+07,4673.76,4673.76,2.184403e+07,17317.184,17317.184,2.9988486e+08,19112.34,19112.34,3.652815e+08,3.6109178,6.669498,4.8441873,5.2257466,5.0998664,6.881411,92374.0,57072.0,0.20852187,19262.0,73112.0,91101.0,11.419724,974.0,164.0,6.881411,5.0998664,0.013780934,-4.284469,4.2172523,3.1345456,2.2339792,1.4391838,1.1424842,0.48745444,27820.0,29252.0,0.36169183,20642.477,8707.66,11934.816,8.5329556e+09,3.2572132e+09,0.4842328,1.5268265,36429.523,11200.641,9441.836,9.86589,11.199748,10.503135,9.323727,9.152905,-1.5677114,11.4336,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,2.3203168,0.8832798,2.965893,1.0798951,0.9571877,6.16949,0.8417037,-0.124113254,-0.04375576,1.0871782,0.076863945,1.8196162,7.7244,2.0443842,-2.8913722,0.80378443,0.14411248,-1.9371612,2.5363536,0.9307275,427163.0,12.964921,13.94715,0.47332266,-0.747978,57072.0,10.952069,110.31584,97.92836,96.1342,-0.4595726,-1.3035783,-30.368471,120.088646,86.93188,85.33919,-0.40796673,-1.1571981,-26.958364,106.60377,83.77568,-0.4004923,-1.1359969,-26.464457,104.650665,0.0019145664,0.0054306695,0.12651418,-0.50028586,0.0154041,0.3588576,-1.4190613,8.360033,-33.058796,130.72722
IA,1988.0,10535.56,40546.0,18590.01,45936.2,56276.0,14834000.0,451000000.0,357000000.0,43819.0,76501.0,120320.0,3325.0,5805.0,9130.0,72276.0,220044.0,292320.0,12509.0,37006.0,49515.0,116095.0,296545.0,412640.0,15834.0,42811.0,58645.0,636.0,102854.0,103490.0,147.0,0.0,9071.0,9218.0,112708.0,45.0,102.0,30.0,606.0,58.5,13.3,28.2,71.8,12.9,15.3,0.0,0.0,0.0,0.0,1.0,0.0,3406.0,11958.0,15364.0,1554.0,0.0,7008.0,8562.0,400691.0,225814.0,9.0,626514.0,100801.0,317012.0,25.0,417838.0,95273.0,66895.0,23439.0,53258.0,1283217.0,24183.0,24735.0,22.93,2.17,0.43,0.782,242.23,2795.0,56276.0,49.66593,X,0.9090627,Iowa,0.0555,412640.0,1.0578945e+10,404496.0,12642.672,701668.3,922481.3,8.133294,9.389155,7.3485875,8.854808,6.455199,11.541066,4.9904327,9.112838,23926.0,112708.0,5.3553457,0.116261885,10.571428,0.7725719,1.6780953,-2.15191,2.358155,-0.25803015,8.373934,7.1777716,4332.648,0.00023080573,1.877184e+07,1309.986,0.00076336693,1.7160634e+06,13.3,2043.412,0.0004893776,4.1755328e+06,1104.4979,1104.4979,1.2199158e+06,8987.94,8987.94,8.0783064e+07,6147.516,6147.516,3.7791956e+07,3.4011974,6.40688,3.8066626,4.624973,4.317488,6.562444,112708.0,23926.0,0.081786565,9218.0,103490.0,111925.0,11.625585,708.0,75.0,6.562444,4.317488,0.0069471556,-4.969423,3.9183674,3.1415095,2.0963728,1.3656751,1.1447034,0.35785338,8562.0,15364.0,0.36740547,8790.544,2414.484,6376.06,1.2703094e+10,5.724535e+08,0.3291819,0.7541646,15135.457,5642.634,3147.91,9.128913,11.547231,9.624795,8.638106,8.054494,-2.5036423,11.632556,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.7223942,0.88443696,2.6447618,0.34819078,0.91460234,4.251593,-0.32518426,-0.12280403,-0.08926591,0.972581,-1.0550047,1.4472938,6.225541,1.8286604,-2.8913722,0.7402086,0.09578544,-2.3456447,2.002772,0.6945323,220813.0,12.305072,13.734822,0.47310516,-0.7484376,23926.0,10.082721,92.63668,83.14,77.52285,-0.8591661,-1.1819636,-27.828865,111.96097,74.61688,69.57558,-0.7710884,-1.0607942,-24.97598,100.48325,64.87487,-0.71899176,-0.9891243,-23.28854,93.69435,0.007968403,0.010962214,0.258101,-1.0383908,0.01508083,0.35507217,-1.4285247,8.360033,-33.63405,135.31636
KS,1988.0,7667.17,39640.0,15429.52,52841.45,82282.0,5351000.0,324000000.0,334000000.0,42397.0,72203.0,114600.0,14987.0,16041.0,31028.0,34629.0,284369.0,318998.0,17531.0,41016.0,58547.0,77026.0,356572.0,433598.0,32518.0,57057.0,89575.0,698.0,122978.0,123676.0,173.0,128.0,9279.0,9580.0,133256.0,73.0,100.0,0.0,698.0,62.8,18.0,19.2,69.1,25.5,5.4,0.0,0.0,0.0,0.0,1.0,0.0,2573.0,10317.0,12890.0,2233.0,905.0,8135.0,11273.0,352267.0,112971.0,2.0,465240.0,81227.0,195447.0,490.0,277164.0,183109.0,275074.0,44942.0,142628.0,1388157.0,22923.0,23243.0,24.42,2.15,0.553,0.755,279.65,2495.0,82282.0,30.32255,X,0.919403,Kansas,0.0555,433598.0,1.5123588e+10,487204.0,9200.604,510633.5,1.0583915e+06,7.852828,9.241549,8.051341,9.003931,6.548219,11.719761,5.7071104,9.1355095,24163.0,133256.0,3.6862464,0.08389305,10.425249,0.87671083,1.3046087,-2.4782124,2.3442307,-0.13157804,7.813947,6.4113946,2474.8801,0.00040405997,6.1250315e+06,608.742,0.0016427321,370566.84,18.0,2320.2,0.00043099732,5.383328e+06,2874.615,2874.615,8.2634115e+06,8094.92,8094.92,6.552773e+07,7789.643,7789.643,6.0678536e+07,,6.548219,4.2904596,4.6051702,4.2904596,6.6821084,133256.0,24163.0,0.071891695,9580.0,123676.0,132257.0,11.792502,798.0,73.0,6.6821084,4.2904596,0.0074968482,-4.8932724,4.265896,3.0,2.08443,1.4506522,1.0986123,0.46653974,11273.0,12890.0,0.342608,8278.4375,3483.357,4795.08,1.7757161e+10,5.8385056e+08,0.26351383,1.6085901,15884.5625,3083.622,5194.815,9.167433,11.725421,9.673103,8.03386,8.555416,-2.6325946,11.800027,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.7157362,0.941908,2.997036,0.21258098,0.8669491,4.6546803,-0.3344436,-0.05984767,-0.14277503,1.0976238,-1.5484322,1.5378733,3.8319738,1.34338,-2.8913722,0.7344954,0.08381171,-2.4791825,1.6195036,0.48211968,547758.0,13.213589,13.872261,0.49467137,-0.70386165,24163.0,10.092578,93.56893,77.71236,82.75742,-1.3810776,-0.57891273,-27.968542,114.142876,64.54291,68.73302,-1.1470346,-0.48080784,-23.22888,94.79977,73.195145,-1.2214998,-0.5120217,-24.736893,100.95414,0.020384708,0.008544753,0.41281575,-1.6847491,0.0035817437,0.1730419,-0.7062041,8.360033,-34.11827,139.24063
KY,1988.0,12137.85,52388.0,21031.07,55668.5,40411.0,29127000.0,643000000.0,222000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,61953.0,62493.0,221.0,93.0,9825.0,10139.0,72632.0,85.0,136.0,27.0,513.0,55.1,23.9,21.0,68.0,25.4,6.6,0.0,0.0,0.0,1.0,0.0,0.0,4737.0,16656.0,21393.0,4384.0,559.0,11726.0,16669.0,683377.0,157425.0,2502.0,843304.0,152045.0,111117.0,41.0,263203.0,88047.0,109820.0,103564.0,143452.0,1551390.0,23908.0,24444.0,28.41,7.43,0.513,0.792,307.8,3713.0,40411.0,91.88092,AA,0.6172995,Kentucky,0.0515,0.0,3.8381742e+09,291600.0,14565.42,750119.1,947986.1,8.46316,9.720526,8.505728,9.369564,6.291569,11.034131,5.749393,9.192685,38062.0,72632.0,8.7722225,0.26884896,15.742038,1.193486,2.17159,-1.3136055,2.7563348,0.17687844,8.4101715,7.0032053,4492.53,0.00022259173,2.0182826e+07,1100.1539,0.0009089637,1.2103388e+06,23.9,5112.927,0.00019558269,2.6142022e+07,4233.926,4233.926,1.7926128e+07,11787.543,11787.543,1.3894616e+08,11334.92,11334.92,1.2848041e+08,3.295837,6.240276,4.4426513,4.912655,4.7184987,6.475433,72632.0,38062.0,0.13959412,10139.0,62493.0,71778.0,11.181334,649.0,112.0,6.475433,4.7184987,0.011757903,-4.4432297,4.1538463,3.15,2.1610582,1.4240347,1.1474025,0.43794337,16669.0,21393.0,0.3925053,14939.536,5334.0796,9605.457,5.2754074e+09,1.4487159e+09,0.53838694,1.2518775,23122.463,5592.6836,9346.853,9.224145,11.0428095,10.04856,8.629214,9.142795,-1.9690162,11.193161,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,2.4734511,1.095807,3.0659087,0.64414555,0.9042018,6.6351666,0.9056144,0.091491036,-0.10070271,1.120344,-0.43983057,1.8923838,10.327667,2.3348265,-2.9661734,0.770598,0.14717478,-1.9161345,1.7973324,0.5863036,197867.0,12.195351,13.762095,0.45094424,-0.7964116,38062.0,10.546971,100.973564,86.71118,91.87192,-1.0119172,0.9193532,-29.805773,112.47515,74.46334,78.895134,-0.8689853,0.78949577,-25.595745,96.58819,83.59069,-0.9207042,0.8364838,-27.119114,102.33677,0.010141036,-0.009213395,0.2987017,-1.1271816,0.00837061,-0.27137828,1.0240738,8.798184,-33.200855,125.28685
LA,1988.0,13572.38,72105.0,27147.89,129066.9,51843.0,64882000.0,591000000.0,188000000.0,94588.0,238373.0,332961.0,2688.0,7909.0,10597.0,56281.0,209593.0,265874.0,1136.0,59761.0,60897.0,150869.0,447966.0,598835.0,3824.0,67670.0,71494.0,608.0,45225.0,45833.0,263.0,45.0,13458.0,13766.0,59599.0,87.0,176.0,7.0,601.0,57.0,27.1,15.9,63.8,25.0,11.2,0.0,0.0,0.0,1.0,0.0,0.0,4197.0,12860.0,17057.0,3847.0,488.0,12463.0,16798.0,650766.0,154691.0,104.0,805561.0,59191.0,194618.0,210.0,254019.0,85661.0,116970.0,107470.0,107504.0,1477185.0,22383.0,22775.0,28.62,5.79,0.325,0.685,215.76,4252.0,51843.0,82.01686,BAA1,0.7150977,Louisiana,0.07,598835.0,2.0453006e+09,369664.0,16286.855,1.1400799e+06,1.4142049e+06,8.342125,9.461877,8.374476,9.430519,6.410175,10.719405,5.7300997,9.507329,33855.0,59599.0,6.9029603,0.284356,14.074676,0.9260663,1.9319503,-1.2575283,2.644377,-0.07680947,7.9054646,7.5397587,2712.063,0.000368723,7.3552855e+06,1881.376,0.0005315259,3.5395755e+06,27.1,4622.4473,0.00021633563,2.1367016e+07,4199.5,4199.5,1.76358e+07,9722.49,9722.49,9.452681e+07,10717.124,10717.124,1.14856744e+08,1.9459101,6.398595,4.465908,5.170484,4.543295,6.6554403,59599.0,33855.0,0.23097703,13766.0,45833.0,58683.0,10.979905,777.0,94.0,6.6554403,4.543295,0.0153693855,-4.175378,3.9923954,3.0345395,2.2599657,1.3843914,1.1100596,0.49617484,16798.0,17057.0,0.3962601,13415.387,6080.876,7334.5103,3.5520407e+09,1.146161e+09,0.3957614,1.2615657,20439.613,4593.439,8821.947,9.529957,10.732759,9.92523,8.4323845,9.084998,-1.465437,10.995394,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.9274942,1.1039069,2.2283146,0.574992,0.8465262,5.2597156,0.6562208,0.098855585,-0.16661412,0.8012455,-0.55339915,1.660077,19.129177,2.9512148,-2.65926,0.81534964,0.10792193,-2.2263472,1.1496055,0.13941886,274125.0,12.521339,14.162078,0.45081297,-0.79670274,33855.0,10.429842,98.51019,83.69336,90.17069,-1.6536834,0.9811644,-26.393768,109.13181,71.10511,76.6082,-1.4049543,0.8335883,-22.423903,92.717384,82.53719,-1.5136889,0.8981028,-24.159372,99.893135,0.027760264,-0.016470736,0.44307026,-1.8319879,0.009772426,-0.2628827,1.086956,7.071664,-29.23961,120.89868
ME,1988.0,2547.35,17896.0,5147.52,15292.81,35387.0,2722000.0,117000000.0,176000000.0,4420.0,50380.0,54800.0,363.0,7371.0,7734.0,22864.0,60801.0,83665.0,18472.0,50372.0,68844.0,27284.0,111181.0,138465.0,18835.0,57743.0,76578.0,312.0,19615.0,19927.0,54.0,17.0,2512.0,2583.0,22510.0,1.0,53.0,13.0,299.0,62.5,26.1,11.4,74.7,22.0,3.3,0.0,0.0,0.0,0.0,0.0,1.0,1725.0,7239.0,8964.0,480.0,95.0,2612.0,3187.0,143850.0,15420.0,446.0,159716.0,114900.0,98260.0,153.0,213313.0,17086.0,42300.0,12015.0,15933.0,460363.0,24466.0,25076.0,24.53,4.24,0.811,0.806,300.09,1235.0,35387.0,34.899822,AA,0.61409706,Maine,0.0515,138465.0,3.8474822e+08,97344.0,3056.82,157426.23,293390.25,7.4529824,8.8872385,6.35437,7.8678713,5.7430034,9.884049,4.26268,7.8288345,12151.0,22510.0,5.5288463,0.3690543,8.098592,1.0398089,1.7099792,-0.9968115,2.09169,0.039036963,6.9294147,4.6555877,1021.896,0.0009785732,1.0442714e+06,105.171,0.009508325,11060.938,26.1,2339.604,0.00042742275,5.473747e+06,701.14,701.14,491597.3,5602.5,5602.5,3.1388006e+07,2380.689,2380.689,5.6676795e+06,2.5649493,5.7004437,0.0,3.9702919,2.6390574,5.8636312,22510.0,12151.0,0.114749,2583.0,19927.0,22127.0,10.004554,352.0,14.0,5.8636312,2.6390574,0.01701466,-4.07368,3.0555556,3.125,2.1460898,1.1169615,1.1394343,0.26228294,3187.0,8964.0,0.34300148,4167.811,806.31104,3361.5,5.067001e+08,1.476468e+08,0.39357218,0.57565314,7983.189,1127.067,3040.7441,7.8567066,9.899831,8.985093,7.027374,8.019857,-2.165008,10.021715,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.4114983,0.94615084,3.6401582,0.24467066,0.9253054,5.9978075,0.34465176,-0.055353273,-0.07763141,1.2920271,-1.4078423,1.791394,6.9936132,1.9449973,-2.9661734,0.7636475,0.038251366,-3.263576,0.6361093,-0.4523849,135964.02,11.820146,12.589259,0.50287384,-0.68741596,12151.0,9.405167,80.731895,63.14161,72.059166,-0.69752544,-0.4973543,-26.651344,90.04604,49.383984,56.358536,-0.5455449,-0.38898814,-20.84441,70.42634,64.318115,-0.6225928,-0.44392535,-23.788288,80.37273,0.0060266354,0.0042971526,0.23026821,-0.7779998,0.003063985,0.1641874,-0.5547347,8.798184,-29.726145,100.43478
