state,year,highway,gsp,totpub,pvtcap,area,roway,tcapo,tmant,capui,capul,caput,mntui,mntul,mntut,capri,caprl,caprt,mntri,mntrl,mntrt,capti,captl,captt,mntti,mnttl,mnttt,milri,milrl,milrt,milui,miluf,milul,milut,miltt,umilgt4,umille4,rmilgt4,rmille4,rpassveh,rtusing,rtrucom,upassveh,utrusing,utrucomb,alaska,newyork,californ,sotheas,midwest,mortheas,vmtri,vmtrl,vmtrt,vmtui,vmtuf,vmtul,vmtut,cstatmh,cstadmrd,cfedroad,ctal,mstadmh,mladmrd,mredroad,mtal,adm_misc,law_safe,interest,bondret,tdisb,pgsal93,pgsal94,pbcon93,pexcav93,prestl93,pststl93,pstcon93,pop90,sqmiles,popdens,bondrate,locshr97,statenam
GA,1988.0,12440.08,99059.0,34290.46,93342.2,59441.0,77468000.0,741000000.0,530000000.0,169131.0,255256.0,424387.0,6644.0,44293.0,50937.0,56115.0,257194.0,313309.0,6110.0,106470.0,112580.0,225246.0,512450.0,737696.0,12754.0,150763.0,163517.0,809.0,83796.0,84605.0,434.0,167.0,25673.0,26274.0,110879.0,271.0,163.0,115.0,694.0,61.1,19.3,19.6,66.7,24.9,8.4,0.0,0.0,0.0,1.0,0.0,0.0,8419.0,23753.0,32172.0,11889.0,1646.0,32197.0,45732.0,699149.0,174244.0,724.0,874117.0,185909.0,260614.0,15.0,446538.0,113627.0,127181.0,46645.0,300966.0,1909074.0,24431.0,24890.0,30.47,2.14,0.399,0.868,308.24,6623.0,59441.0,111.42141,AAA,0.82965803,Georgia
HA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191402.0,39912.0,231314.0,1960.0,4246.0,6206.0,20447.0,51985.0,72432.0,700.0,8175.0,8875.0,211849.0,91897.0,303746.0,2660.0,12421.0,15081.0,0.0,2307.0,2307.0,44.0,53.0,1702.0,1799.0,4106.0,38.0,6.0,0.0,0.0,100.0,0.0,0.0,79.3,20.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148.0,2148.0,1533.0,804.0,3581.0,5918.0,316797.0,23410.0,263.0,340470.0,19793.0,50294.0,0.0,70087.0,38613.0,16365.0,18968.0,22637.0,507140.0,30420.0,31136.0,65.14,18.58,0.585,0.585,616.43,1135.0,6470.0,175.42503,AA,0.72869146,Hawaii
ID,1988.0,3010.18,12432.0,5118.46,14216.9,83574.0,5106000.0,186000000.0,116000000.0,762.0,7891.0,8653.0,346.0,824.0,1170.0,41236.0,75044.0,116280.0,2307.0,17980.0,20287.0,41998.0,82935.0,124933.0,2653.0,18804.0,21457.0,532.0,54887.0,55419.0,79.0,0.0,3337.0,3416.0,58835.0,2.0,77.0,0.0,532.0,47.8,31.5,20.7,61.0,31.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1667.0,5540.0,7207.0,741.0,0.0,2816.0,3557.0,111528.0,42830.0,6609.0,160967.0,49296.0,84059.0,1212.0,134567.0,43930.0,14397.0,341.0,545.0,354747.0,22276.0,23261.0,21.82,2.79,0.482,0.714,242.58,1039.0,83574.0,12.4320965,X,0.5206651,Idaho
IL,1988.0,28835.59,200874.0,66247.07,179351.0,57918.0,45186000.0,1580000000.0,810000000.0,365359.0,334974.0,700333.0,36813.0,124266.0,161079.0,212843.0,556580.0,769423.0,21476.0,74427.0,95903.0,578202.0,891554.0,1469756.0,58289.0,198693.0,256982.0,1421.0,100363.0,101784.0,630.0,80.0,34471.0,35181.0,136965.0,311.0,319.0,28.0,1393.0,64.7,12.8,22.5,78.1,14.9,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8428.0,19826.0,28254.0,14447.0,1047.0,43894.0,59388.0,1443338.0,507931.0,56.0,1951325.0,291073.0,701587.0,490.0,993150.0,260011.0,126439.0,129070.0,115485.0,3575480.0,29712.0,30507.0,29.97,4.26,0.605,0.868,387.64,11543.0,57918.0,199.29901,A1,0.8740166,Illinois
IN,1988.0,10713.72,82918.0,25296.76,93894.82,36420.0,15829000.0,538000000.0,413000000.0,92677.0,234936.0,327613.0,8989.0,26980.0,35969.0,130626.0,177392.0,308018.0,38619.0,114821.0,153440.0,223303.0,412328.0,635631.0,47608.0,141801.0,189409.0,825.0,72287.0,73112.0,313.0,135.0,18814.0,19262.0,92374.0,127.0,186.0,37.0,788.0,59.2,16.3,24.5,68.7,16.8,14.5,0.0,0.0,0.0,0.0,1.0,0.0,6646.0,22606.0,29252.0,5537.0,774.0,21509.0,27820.0,567006.0,218588.0,0.0,785594.0,201342.0,214625.0,510.0,416477.0,195916.0,41838.0,52231.0,12687.0,1504743.0,25309.0,25876.0,22.9,6.97,0.474,0.811,295.89,5610.0,36420.0,154.03624,X,0.87873,Indiana
IA,1988.0,10535.56,40546.0,18590.01,45936.2,56276.0,14834000.0,451000000.0,357000000.0,43819.0,76501.0,120320.0,3325.0,5805.0,9130.0,72276.0,220044.0,292320.0,12509.0,37006.0,49515.0,116095.0,296545.0,412640.0,15834.0,42811.0,58645.0,636.0,102854.0,103490.0,147.0,0.0,9071.0,9218.0,112708.0,45.0,102.0,30.0,606.0,58.5,13.3,28.2,71.8,12.9,15.3,0.0,0.0,0.0,0.0,1.0,0.0,3406.0,11958.0,15364.0,1554.0,0.0,7008.0,8562.0,400691.0,225814.0,9.0,626514.0,100801.0,317012.0,25.0,417838.0,95273.0,66895.0,23439.0,53258.0,1283217.0,24183.0,24735.0,22.93,2.17,0.43,0.782,242.23,2795.0,56276.0,49.66593,X,0.9090627,Iowa
KS,1988.0,7667.17,39640.0,15429.52,52841.45,82282.0,5351000.0,324000000.0,334000000.0,42397.0,72203.0,114600.0,14987.0,16041.0,31028.0,34629.0,284369.0,318998.0,17531.0,41016.0,58547.0,77026.0,356572.0,433598.0,32518.0,57057.0,89575.0,698.0,122978.0,123676.0,173.0,128.0,9279.0,9580.0,133256.0,73.0,100.0,0.0,698.0,62.8,18.0,19.2,69.1,25.5,5.4,0.0,0.0,0.0,0.0,1.0,0.0,2573.0,10317.0,12890.0,2233.0,905.0,8135.0,11273.0,352267.0,112971.0,2.0,465240.0,81227.0,195447.0,490.0,277164.0,183109.0,275074.0,44942.0,142628.0,1388157.0,22923.0,23243.0,24.42,2.15,0.553,0.755,279.65,2495.0,82282.0,30.32255,X,0.919403,Kansas
KY,1988.0,12137.85,52388.0,21031.07,55668.5,40411.0,29127000.0,643000000.0,222000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,61953.0,62493.0,221.0,93.0,9825.0,10139.0,72632.0,85.0,136.0,27.0,513.0,55.1,23.9,21.0,68.0,25.4,6.6,0.0,0.0,0.0,1.0,0.0,0.0,4737.0,16656.0,21393.0,4384.0,559.0,11726.0,16669.0,683377.0,157425.0,2502.0,843304.0,152045.0,111117.0,41.0,263203.0,88047.0,109820.0,103564.0,143452.0,1551390.0,23908.0,24444.0,28.41,7.43,0.513,0.792,307.8,3713.0,40411.0,91.88092,AA,0.6172995,Kentucky
LA,1988.0,13572.38,72105.0,27147.89,129066.9,51843.0,64882000.0,591000000.0,188000000.0,94588.0,238373.0,332961.0,2688.0,7909.0,10597.0,56281.0,209593.0,265874.0,1136.0,59761.0,60897.0,150869.0,447966.0,598835.0,3824.0,67670.0,71494.0,608.0,45225.0,45833.0,263.0,45.0,13458.0,13766.0,59599.0,87.0,176.0,7.0,601.0,57.0,27.1,15.9,63.8,25.0,11.2,0.0,0.0,0.0,1.0,0.0,0.0,4197.0,12860.0,17057.0,3847.0,488.0,12463.0,16798.0,650766.0,154691.0,104.0,805561.0,59191.0,194618.0,210.0,254019.0,85661.0,116970.0,107470.0,107504.0,1477185.0,22383.0,22775.0,28.62,5.79,0.325,0.685,215.76,4252.0,51843.0,82.01686,BAA1,0.7150977,Louisiana
ME,1988.0,2547.35,17896.0,5147.52,15292.81,35387.0,2722000.0,117000000.0,176000000.0,4420.0,50380.0,54800.0,363.0,7371.0,7734.0,22864.0,60801.0,83665.0,18472.0,50372.0,68844.0,27284.0,111181.0,138465.0,18835.0,57743.0,76578.0,312.0,19615.0,19927.0,54.0,17.0,2512.0,2583.0,22510.0,1.0,53.0,13.0,299.0,62.5,26.1,11.4,74.7,22.0,3.3,0.0,0.0,0.0,0.0,0.0,1.0,1725.0,7239.0,8964.0,480.0,95.0,2612.0,3187.0,143850.0,15420.0,446.0,159716.0,114900.0,98260.0,153.0,213313.0,17086.0,42300.0,12015.0,15933.0,460363.0,24466.0,25076.0,24.53,4.24,0.811,0.806,300.09,1235.0,35387.0,34.899822,AA,0.61409706,Maine
MD,1988.0,11768.02,73671.0,31062.85,56167.54,12407.0,105000000.0,1020000000.0,296000000.0,79085.0,154176.0,233261.0,6980.0,84597.0,91577.0,113671.0,124701.0,238372.0,6588.0,2582.0,9170.0,192756.0,278877.0,471633.0,13568.0,87179.0,100747.0,227.0,15415.0,15642.0,255.0,224.0,13192.0,13671.0,29313.0,187.0,68.0,123.0,104.0,63.7,17.2,19.1,65.3,33.5,1.2,0.0,0.0,0.0,1.0,0.0,0.0,2913.0,9889.0,12802.0,9086.0,3406.0,16602.0,29094.0,511583.0,232055.0,14907.0,758545.0,149131.0,200106.0,0.0,349237.0,108364.0,161614.0,81688.0,330508.0,1789956.0,32930.0,34052.0,26.2,2.48,0.505,0.808,286.69,4860.0,12407.0,391.71436,AAA,0.8041644,Maryland
MA,1988.0,9194.59,116523.0,32265.09,80736.98,10555.0,48478000.0,857000000.0,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,10765.0,10927.0,403.0,199.0,19034.0,19636.0,30563.0,323.0,80.0,59.0,103.0,74.8,15.5,9.7,85.4,11.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,2176.0,6615.0,8791.0,10733.0,4490.0,23334.0,38557.0,871763.0,141997.0,40.0,1013800.0,146150.0,244043.0,0.0,390193.0,214814.0,177051.0,174108.0,245634.0,2215600.0,31609.0,33039.0,28.96,3.17,0.719,0.683,93.8,5996.0,10555.0,568.072,A1,0.89364433,Massachusetts
MI,1988.0,18795.61,145444.0,49760.76,137614.7,96810.0,27093000.0,670000000.0,741000000.0,261891.0,64799.0,326690.0,44295.0,9639.0,53934.0,71861.0,162943.0,234804.0,13758.0,26571.0,40329.0,333752.0,227742.0,561494.0,58053.0,36210.0,94263.0,741.0,88744.0,89485.0,499.0,221.0,27454.0,28174.0,117659.0,301.0,198.0,92.0,649.0,72.2,18.6,9.2,72.7,19.5,7.8,0.0,0.0,0.0,0.0,1.0,0.0,5614.0,25620.0,31234.0,12601.0,3965.0,36419.0,52985.0,546839.0,276700.0,31.0,823570.0,138763.0,642977.0,300.0,782040.0,205891.0,201637.0,35674.0,44873.0,2093685.0,30074.0,30740.0,26.64,3.23,0.557,1.1,268.24,9368.0,96810.0,96.76686,A1,0.9190062,Michigan
MN,1988.0,13417.77,73407.0,30670.27,66077.3,86943.0,50735000.0,982000000.0,493000000.0,75321.0,372047.0,447368.0,6115.0,34480.0,40595.0,14920.0,145839.0,160759.0,5342.0,51908.0,57250.0,90241.0,517886.0,608127.0,11457.0,86388.0,97845.0,681.0,114392.0,115073.0,233.0,130.0,14523.0,14886.0,129959.0,106.0,127.0,20.0,661.0,76.4,12.7,10.9,83.1,12.5,4.4,0.0,0.0,0.0,0.0,1.0,0.0,3201.0,16769.0,19970.0,5320.0,2216.0,13656.0,21192.0,587390.0,689936.0,163.0,1277489.0,144894.0,395181.0,1508.0,541583.0,146484.0,180927.0,56605.0,127591.0,2330679.0,28052.0,28807.0,19.28,1.58,0.447,0.825,150.76,4432.0,86943.0,50.975925,AA1,0.8862966,Minnesota
MS,1988.0,6702.66,31247.0,12439.9,35823.48,48434.0,16691000.0,353000000.0,241000000.0,29423.0,91401.0,120824.0,770.0,2241.0,3011.0,33549.0,279203.0,312752.0,3231.0,31588.0,34819.0,62972.0,370604.0,433576.0,4001.0,33829.0,37830.0,558.0,64372.0,64930.0,127.0,40.0,7737.0,7904.0,72834.0,0.0,127.0,0.0,558.0,63.9,17.2,18.9,68.1,16.3,15.6,0.0,0.0,0.0,1.0,0.0,0.0,2951.0,14570.0,17521.0,1383.0,185.0,7150.0,8718.0,332638.0,119737.0,3341.0,455716.0,54704.0,188186.0,591.0,243481.0,33114.0,64869.0,31566.0,57622.0,886368.0,20777.0,21643.0,29.17,1.65,0.334,0.74,211.04,2592.0,48434.0,53.516125,AA,0.8440328,Mississippi
MO,1988.0,11494.67,77844.0,24607.52,75102.29,69709.0,24073000.0,537000000.0,424000000.0,77983.0,107018.0,185001.0,22339.0,13394.0,35733.0,60904.0,254227.0,315131.0,16829.0,103110.0,119939.0,138887.0,361245.0,500132.0,39168.0,116504.0,155672.0,812.0,104825.0,105637.0,366.0,276.0,15508.0,16150.0,121787.0,210.0,156.0,5.0,807.0,63.7,12.0,24.3,80.2,14.6,5.2,0.0,0.0,0.0,0.0,1.0,0.0,5504.0,19464.0,24968.0,8497.0,2326.0,17463.0,28286.0,464531.0,199354.0,1342.0,665227.0,210439.0,222712.0,8.0,433159.0,177283.0,124228.0,11715.0,19421.0,1431033.0,24807.0,25475.0,23.54,2.57,0.606,0.771,317.83,5158.0,69709.0,73.99332,AAA,0.7292106,Missouri
MT,1988.0,4165.41,10336.0,6209.03,19331.31,147046.0,12105000.0,236000000.0,75017000.0,4706.0,35328.0,40034.0,485.0,2123.0,2608.0,33598.0,116717.0,150315.0,3520.0,12273.0,15793.0,38304.0,152045.0,190349.0,4005.0,14396.0,18401.0,1137.0,66251.0,67388.0,53.0,0.0,2327.0,2380.0,69768.0,0.0,53.0,0.0,1137.0,53.1,31.6,15.3,67.5,22.9,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,4574.0,6502.0,184.0,0.0,1839.0,2023.0,191070.0,57652.0,9217.0,257939.0,42087.0,21356.0,4178.0,67621.0,16843.0,19424.0,13958.0,1723.0,377508.0,23744.0,24180.0,23.74,3.21,0.513,0.655,238.51,808.0,147046.0,5.4948792,AA,0.6836273,Montana
NE,1988.0,5423.15,23621.0,14873.69,29966.97,77358.0,9036000.0,289000000.0,160000000.0,25688.0,33785.0,59473.0,469.0,7711.0,8180.0,35102.0,177951.0,213053.0,3277.0,25251.0,28528.0,60790.0,211736.0,272526.0,3746.0,32962.0,36708.0,437.0,87211.0,87648.0,44.0,11.0,4999.0,5054.0,92702.0,11.0,33.0,0.0,437.0,50.3,23.6,26.1,68.8,25.5,5.7,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,6966.0,8960.0,734.0,93.0,4834.0,5661.0,244117.0,192494.0,34598.0,471209.0,51993.0,126578.0,444.0,179015.0,43639.0,42934.0,15349.0,27120.0,779266.0,23214.0,23698.0,22.21,2.03,0.781,0.635,304.88,1593.0,77355.0,20.593369,X,0.88750255,Nebraska
NV,1988.0,2782.09,19384.0,6537.47,25760.58,110567.0,12154000.0,188000000.0,76017000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,40701.0,41181.0,65.0,32.0,4500.0,4597.0,45778.0,20.0,45.0,0.0,480.0,59.5,14.3,26.2,811.0,13.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,2957.0,4479.0,1147.0,579.0,4692.0,6418.0,168487.0,10557.0,2640.0,181684.0,58785.0,14637.0,1048.0,74470.0,23360.0,24049.0,12962.0,16786.0,333311.0,30929.0,31617.0,20.67,3.33,0.478,0.994,236.94,1284.0,110567.0,11.612868,AA,0.60408235,Nevada
NH,1988.0,2401.79,20324.0,4541.76,13374.03,9351.0,12158000.0,117000000.0,146000000.0,12430.0,58654.0,71084.0,555.0,9422.0,9977.0,39037.0,61431.0,100468.0,3699.0,44484.0,48183.0,51467.0,120085.0,171552.0,4254.0,53906.0,58160.0,176.0,11893.0,12069.0,48.0,40.0,2781.0,2869.0,14938.0,13.0,35.0,21.0,155.0,74.5,21.8,3.7,69.3,27.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,1330.0,5025.0,6355.0,712.0,448.0,2552.0,3712.0,86815.0,37694.0,0.0,124509.0,98469.0,66752.0,106.0,165327.0,96270.0,46005.0,21722.0,4533.0,458366.0,26304.0,27116.0,26.4,3.09,0.482,1.115,209.89,1105.0,9351.0,118.16918,AA,0.7254332,New Hampshire
NJ,1988.0,15409.0,155077.0,37458.49,111049.0,8722.0,70674000.0,691000000.0,537000000.0,498494.0,436924.0,935418.0,38105.0,129416.0,167521.0,10398.0,95880.0,106278.0,4801.0,25387.0,30188.0,508892.0,532804.0,1041696.0,42906.0,154803.0,197709.0,113.0,10955.0,11068.0,300.0,306.0,23423.0,24029.0,35097.0,246.0,54.0,56.0,57.0,72.5,16.3,11.2,74.4,17.7,7.9,0.0,0.0,0.0,0.0,0.0,1.0,2124.0,9726.0,11850.0,8110.0,5734.0,33716.0,47560.0,1250419.0,100871.0,0.0,1351290.0,358862.0,342765.0,0.0,701627.0,381121.0,254093.0,238792.0,220850.0,3147773.0,35532.0,37039.0,27.28,7.11,0.75,1.175,320.62,7760.0,8722.0,889.7042,AA1,0.9079343,New Jersey
NM,1988.0,4388.96,21618.0,9192.05,29698.23,121598.0,15861000.0,258000000.0,111000000.0,27850.0,49279.0,77129.0,0.0,0.0,0.0,63130.0,176558.0,239688.0,0.0,0.0,0.0,90980.0,225837.0,316817.0,0.0,0.0,52572.0,907.0,54054.0,54961.0,91.0,3.0,5757.0,5851.0,60812.0,26.0,65.0,10.0,897.0,63.6,15.3,21.1,66.0,14.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,3659.0,7989.0,11648.0,1202.0,2.0,5600.0,6804.0,245616.0,38902.0,6033.0,290551.0,63812.0,38326.0,5674.0,107812.0,65312.0,26275.0,2532.0,2014.0,494496.0,25083.0,26013.0,22.47,2.68,0.592,2.241,298.37,1548.0,121598.0,12.730473,AA1,0.6829584,New Mexico
NY,1988.0,37413.16,334914.0,136677.7,234991.6,54475.0,26813000.0,2000000000.0,1740000000.0,659716.0,1156753.0,1816469.0,6566.0,139131.0,145697.0,308954.0,79800.0,388754.0,104087.0,37561.0,141648.0,968670.0,1236553.0,2205223.0,110653.0,176692.0,287345.0,797.0,71792.0,72589.0,703.0,857.0,37733.0,39293.0,111882.0,385.0,318.0,52.0,745.0,69.5,16.3,14.2,77.4,17.2,5.4,0.0,1.0,0.0,0.0,0.0,1.0,5381.0,24961.0,30342.0,14475.0,14327.0,50737.0,79539.0,1172069.0,1220310.0,176.0,2392555.0,606776.0,1839465.0,200.0,2446441.0,616785.0,283252.0,586457.0,409463.0,6734953.0,33575.0,34776.0,29.27,4.76,0.727,0.978,426.54,18058.0,54475.0,331.49152,A,0.85443634,New York
