state,year,highway,gsp,totpub,pvtcap,area,roway,tcapo,tmant,capui,capul,caput,mntui,mntul,mntut,capri,caprl,caprt,mntri,mntrl,mntrt,capti,captl,captt,mntti,mnttl,mnttt,milri,milrl,milrt,milui,miluf,milul,milut,miltt,umilgt4,umille4,rmilgt4,rmille4,rpassveh,rtusing,rtrucom,upassveh,utrusing,utrucomb,alaska,newyork,californ,sotheas,midwest,mortheas,vmtri,vmtrl,vmtrt,vmtui,vmtuf,vmtul,vmtut,cstatmh,cstadmrd,cfedroad,ctal,mstadmh,mladmrd,mredroad,mtal,adm_misc,law_safe,interest,bondret,tdisb,pgsal93,pgsal94,pbcon93,pexcav93,prestl93,pststl93,pstcon93,pop90,sqmiles,popdens,bondrate,locshr97,statenam
AL,1988.0,8905.74,53547.0,20204.46,66008.17,52423.0,41714000.0,470000000.0,342000000.0,125348.0,77005.0,202353.0,7008.0,87510.0,94518.0,29484.0,238395.0,267879.0,7412.0,55938.0,63350.0,154832.0,315400.0,470232.0,14420.0,143448.0,157868.0,602.0,72226.0,72828.0,297.0,21.0,19063.0,19381.0,92209.0,43.0,254.0,0.0,602.0,56.0,16.9,27.1,72.7,14.3,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4442.0,18361.0,22803.0,4208.0,326.0,18425.0,22959.0,372518.0,42839.0,974.0,416331.0,134450.0,299897.0,14.0,434361.0,72558.0,57359.0,11128.0,20436.0,1012173.0,25028.0,26376.0,25.49,1.6,0.419,0.862,217.9,4089.0,52423.0,78.000114,AA,0.8740119,Alabama
AK,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35459.0,71217.0,106676.0,1369.0,19907.0,21276.0,50659.0,84665.0,135324.0,3744.0,8380.0,12124.0,86118.0,155882.0,242000.0,5113.0,28287.0,33400.0,1003.0,11104.0,12107.0,54.0,0.0,1688.0,1742.0,13849.0,10.0,44.0,0.0,1003.0,57.9,39.7,2.4,85.1,14.2,0.7,1.0,0.0,0.0,0.0,0.0,0.0,677.0,1328.0,2005.0,450.0,0.0,1386.0,1836.0,213000.0,60888.0,4942.0,278830.0,121900.0,34166.0,831.0,156897.0,30088.0,40116.0,13411.0,21623.0,540965.0,37943.0,38889.0,31.89,1.89,0.464,1.161,855.03,570.0,591004.0,0.9644605,AA,0.41905433,Alaska
AZ,1988.0,7955.02,50630.0,23693.97,48932.84,114006.0,216000000.0,1070000000.0,199000000.0,48078.0,229257.0,277335.0,0.0,0.0,0.0,66574.0,136890.0,203464.0,0.0,0.0,0.0,114652.0,366147.0,480799.0,0.0,0.0,68839.0,987.0,38436.0,39423.0,202.0,70.0,16068.0,16340.0,55763.0,54.0,148.0,0.0,987.0,57.7,26.0,16.3,58.7,33.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,8678.0,13788.0,3003.0,1344.0,16912.0,21259.0,488274.0,205236.0,19046.0,712556.0,68907.0,84516.0,10641.0,164064.0,70527.0,78446.0,154305.0,359239.0,1539137.0,24995.0,25906.0,22.42,5.21,0.354,1.62,206.73,3750.0,114006.0,32.893005,XX,0.6363506,Arizona
AR,1988.0,4829.36,29802.0,10411.96,34924.26,53182.0,11366000.0,307000000.0,197000000.0,6623.0,132474.0,139097.0,1387.0,24221.0,25608.0,26357.0,196878.0,223235.0,7154.0,60650.0,67804.0,32980.0,329352.0,362332.0,8541.0,84871.0,93412.0,412.0,69185.0,69597.0,131.0,94.0,7370.0,7595.0,77192.0,45.0,86.0,3.0,409.0,56.5,13.4,30.1,68.8,14.8,16.4,0.0,0.0,0.0,1.0,0.0,0.0,3140.0,11908.0,15048.0,1758.0,717.0,5558.0,8033.0,325826.0,72239.0,868.0,398933.0,113232.0,130379.0,310.0,243921.0,42524.0,45163.0,661.0,449.0,731651.0,22793.0,23336.0,26.28,1.31,0.544,0.674,259.97,2372.0,53182.0,44.60156,AA,0.80452496,Arkansas
CA,1988.0,42835.42,528674.0,145321.6,400653.1,163707.0,244000000.0,2220000000.0,1560000000.0,513828.0,881208.0,1395036.0,51921.0,80647.0,132568.0,61578.0,678709.0,740287.0,44901.0,164991.0,209892.0,575406.0,1559917.0,2135323.0,96822.0,245638.0,342460.0,1356.0,86784.0,88140.0,1067.0,1393.0,78601.0,81061.0,169201.0,940.0,127.0,286.0,1070.0,69.3,17.2,13.5,86.2,11.0,2.8,0.0,0.0,1.0,0.0,0.0,0.0,14322.0,37875.0,52197.0,52566.0,42332.0,115453.0,210351.0,2089004.0,1700434.0,15983.0,3805421.0,511977.0,1474922.0,1685.0,1988584.0,1046908.0,1182559.0,58263.0,35336.0,8117071.0,33080.0,33795.0,28.79,3.15,0.414,1.07,256.86,30380.0,163707.0,185.57545,A1,0.7894209,California
CO,1988.0,6574.39,52117.0,20639.31,51304.57,104100.0,34119000.0,536000000.0,312000000.0,92615.0,88050.0,180665.0,7308.0,36948.0,44256.0,80658.0,79953.0,160611.0,18067.0,62885.0,80952.0,173273.0,168003.0,341276.0,25375.0,99833.0,125208.0,768.0,65050.0,65818.0,186.0,216.0,12501.0,12903.0,78721.0,62.0,124.0,21.0,747.0,79.3,5.3,15.4,92.7,3.9,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3661.0,8913.0,12574.0,3793.0,2406.0,12035.0,18234.0,386491.0,179430.0,3453.0,569374.0,128060.0,236345.0,921.0,365326.0,52531.0,96886.0,43258.0,63757.0,1191132.0,27380.0,28148.0,28.35,2.48,0.362,0.79,201.17,3377.0,104091.0,32.44277,X,0.7930033,Colorado
CN,1988.0,7236.71,70125.0,17871.09,46318.68,5544.0,20418000.0,537000000.0,259000000.0,183530.0,329367.0,512897.0,3246.0,26674.0,29920.0,30305.0,44920.0,75225.0,1366.0,18028.0,19394.0,213835.0,374287.0,588122.0,4612.0,44702.0,49314.0,101.0,8713.0,8814.0,242.0,197.0,11104.0,11543.0,20357.0,168.0,74.0,22.0,79.0,79.5,13.1,7.4,83.2,12.0,4.8,0.0,0.0,0.0,0.0,0.0,1.0,1357.0,4711.0,6068.0,6758.0,2623.0,11010.0,20391.0,691154.0,70521.0,0.0,761675.0,60753.0,156338.0,0.0,217091.0,75613.0,17130.0,168579.0,206380.0,1446468.0,35320.0,36143.0,32.4,5.33,0.631,0.887,336.99,3291.0,5544.0,593.61475,AA,0.8074486,Connecticut
DE,1988.0,2112.78,11427.0,4681.46,12209.28,2489.0,22363000.0,157000000.0,49904000.0,22297.0,87042.0,109339.0,3083.0,25363.0,28446.0,0.0,96196.0,96196.0,0.0,673.0,673.0,22297.0,183238.0,205535.0,3083.0,26036.0,29119.0,0.0,3675.0,3675.0,41.0,9.0,1819.0,1869.0,5544.0,30.0,11.0,0.0,0.0,100.0,0.0,0.0,63.5,25.2,11.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2685.0,2685.0,989.0,38.0,3180.0,4207.0,193959.0,3375.0,14559.0,211893.0,55562.0,8148.0,0.0,63710.0,50696.0,36496.0,46059.0,26331.0,435185.0,28593.0,29298.0,26.85,3.4,0.632,0.632,261.13,680.0,2489.0,273.2021,AA1,0.116742395,Delaware
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21573.0,86621.0,108194.0,1848.0,26106.0,27954.0,0.0,0.0,0.0,0.0,0.0,0.0,21573.0,86621.0,108194.0,1848.0,26106.0,27954.0,0.0,0.0,0.0,14.0,19.0,1074.0,1107.0,1107.0,10.0,4.0,0.0,0.0,100.0,0.0,0.0,97.1,2.6,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,469.0,393.0,2700.0,3562.0,0.0,101042.0,5176.0,106218.0,0.0,28524.0,12.0,28536.0,19715.0,0.0,73135.0,46061.0,273665.0,43855.0,46872.0,54.49,10.13,0.488,0.898,616.0,598.0,67.0,8925.373,X,0.007719298,Dist. of Columbia
FL,1988.0,19987.9,170213.0,59950.37,154057.4,65758.0,247000000.0,1880000000.0,801000000.0,225241.0,864268.0,1089509.0,3581.0,111397.0,114978.0,94234.0,501226.0,595460.0,8772.0,73647.0,82419.0,319475.0,1365494.0,1684969.0,12353.0,185044.0,197397.0,1019.0,62611.0,63630.0,424.0,284.0,48470.0,49178.0,112808.0,205.0,219.0,100.0,919.0,74.8,11.9,13.3,82.3,11.7,6.0,0.0,0.0,0.0,1.0,0.0,0.0,10183.0,24818.0,35001.0,12034.0,4319.0,68514.0,84867.0,1440203.0,681642.0,682.0,2122527.0,282812.0,366381.0,312.0,649505.0,428351.0,271756.0,232516.0,153681.0,3858336.0,27116.0,27315.0,19.02,2.51,0.377,0.66,320.1,13277.0,65758.0,201.907,AA,0.8829295,Florida
