package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,mntui,,numeric,51,7008.0 | 1369.0 | 0.0 | 1387.0 | 51921.0,0,51921,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,mntul,,numeric,51,87510.0 | 19907.0 | 0.0 | 24221.0 | 80647.0,0,342892,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,mntut,,numeric,51,94518.0 | 21276.0 | 0.0 | 25608.0 | 132568.0,0,355532,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,capri,,numeric,51,29484.0 | 50659.0 | 66574.0 | 26357.0 | 61578.0,0,308954,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,caprl,,numeric,51,238395.0 | 84665.0 | 136890.0 | 196878.0 | 678709.0,0,807390,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,caprt,,numeric,51,267879.0 | 135324.0 | 203464.0 | 223235.0 | 740287.0,0,963818,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,mntri,,numeric,51,7412.0 | 3744.0 | 0.0 | 7154.0 | 44901.0,0,162540,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,mntrl,,numeric,51,55938.0 | 8380.0 | 0.0 | 60650.0 | 164991.0,0,355502,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,mntrt,,numeric,51,63350.0 | 12124.0 | 0.0 | 67804.0 | 209892.0,0,518042,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,capti,,numeric,51,154832.0 | 86118.0 | 114652.0 | 32980.0 | 575406.0,0,968670,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
