source_file,column,dtype,non_null,sample_values
Highway5.dta,state,object,54,AL; AK; AZ
Highway5.dta,pop90,float64,51,4089.0; 570.0; 3750.0
Highway5.dta,sqmiles,float64,51,52423.0; 591004.0; 114006.0
Highway5.dta,popdens,float32,51,78.00011444091797; 0.9644604921340942; 32.89300537109375
Highway5.dta,bondrate,object,54,AA; AA; XX
Highway5.dta,locshr97,float32,54,0.8740118741989136; 0.4190543293952942; 0.6363505721092224
Highway5.dta,statenam,object,54,Alabama; Alaska; Arizona
Highway5x.dta,state,object,54,AL; AK; AZ
Highway5x.dta,year,float64,51,1988.0; 1988.0; 1988.0
Highway5x.dta,highway,float32,51,8905.740234375; 0.0; 7955.02001953125
Highway5x.dta,gsp,float64,51,53547.0; 0.0; 50630.0
Highway5x.dta,totpub,float32,51,20204.4609375; 0.0; 23693.970703125
Highway5x.dta,pvtcap,float32,51,66008.171875; 0.0; 48932.83984375
Highway5x.dta,area,float64,51,52423.0; 0.0; 114006.0
Highway5x.dta,roway,float64,51,41714000.0; 0.0; 216000000.0
Highway5x.dta,tcapo,float64,51,470000000.0; 0.0; 1070000000.0
Highway5x.dta,tmant,float64,51,342000000.0; 0.0; 199000000.0
Highway5x.dta,capui,float64,51,125348.0; 35459.0; 48078.0
Highway5x.dta,capul,float64,51,77005.0; 71217.0; 229257.0
Highway5x.dta,caput,float64,51,202353.0; 106676.0; 277335.0
Highway5x.dta,mntui,float64,51,7008.0; 1369.0; 0.0
Highway5x.dta,mntul,float64,51,87510.0; 19907.0; 0.0
Highway5x.dta,mntut,float64,51,94518.0; 21276.0; 0.0
Highway5x.dta,capri,float64,51,29484.0; 50659.0; 66574.0
Highway5x.dta,caprl,float64,51,238395.0; 84665.0; 136890.0
Highway5x.dta,caprt,float64,51,267879.0; 135324.0; 203464.0
Highway5x.dta,mntri,float64,51,7412.0; 3744.0; 0.0
Highway5x.dta,mntrl,float64,51,55938.0; 8380.0; 0.0
Highway5x.dta,mntrt,float64,51,63350.0; 12124.0; 0.0
Highway5x.dta,capti,float64,51,154832.0; 86118.0; 114652.0
Highway5x.dta,captl,float64,51,315400.0; 155882.0; 366147.0
Highway5x.dta,captt,float64,51,470232.0; 242000.0; 480799.0
Highway5x.dta,mntti,float64,51,14420.0; 5113.0; 0.0
Highway5x.dta,mnttl,float64,51,143448.0; 28287.0; 0.0
Highway5x.dta,mnttt,float64,51,157868.0; 33400.0; 68839.0
Highway5x.dta,milri,float64,51,602.0; 1003.0; 987.0
Highway5x.dta,milrl,float64,51,72226.0; 11104.0; 38436.0
Highway5x.dta,milrt,float64,51,72828.0; 12107.0; 39423.0
Highway5x.dta,milui,float64,51,297.0; 54.0; 202.0
Highway5x.dta,miluf,float64,51,21.0; 0.0; 70.0
Highway5x.dta,milul,float64,51,19063.0; 1688.0; 16068.0
Highway5x.dta,milut,float64,51,19381.0; 1742.0; 16340.0
Highway5x.dta,miltt,float64,51,92209.0; 13849.0; 55763.0
Highway5x.dta,umilgt4,float64,51,43.0; 10.0; 54.0
Highway5x.dta,umille4,float64,51,254.0; 44.0; 148.0
Highway5x.dta,rmilgt4,float64,51,0.0; 0.0; 0.0
Highway5x.dta,rmille4,float64,51,602.0; 1003.0; 987.0
Highway5x.dta,rpassveh,float32,51,56.0; 57.900001525878906; 57.70000076293945
Highway5x.dta,rtusing,float32,51,16.899999618530273; 39.70000076293945; 26.0
Highway5x.dta,rtrucom,float32,51,27.100000381469727; 2.4000000953674316; 16.299999237060547
Highway5x.dta,upassveh,float32,51,72.69999694824219; 85.0999984741211; 58.70000076293945
Highway5x.dta,utrusing,float32,51,14.300000190734863; 14.199999809265137; 33.20000076293945
Highway5x.dta,utrucomb,float32,51,13.0; 0.699999988079071; 8.100000381469727
Highway5x.dta,alaska,float64,51,0.0; 1.0; 0.0
Highway5x.dta,newyork,float64,51,0.0; 0.0; 0.0
Highway5x.dta,californ,float64,51,0.0; 0.0; 0.0
Highway5x.dta,sotheas,float64,51,1.0; 0.0; 0.0
Highway5x.dta,midwest,float64,51,0.0; 0.0; 0.0
Highway5x.dta,mortheas,float64,51,0.0; 0.0; 0.0
Highway5x.dta,vmtri,float64,51,4442.0; 677.0; 5110.0
Highway5x.dta,vmtrl,float64,51,18361.0; 1328.0; 8678.0
Highway5x.dta,vmtrt,float64,51,22803.0; 2005.0; 13788.0
Highway5x.dta,vmtui,float64,51,4208.0; 450.0; 3003.0
